SPLIT           MODE            RESOLUTION      CLASS           bad 2.0         bad 4.0         bad 6.0         bad 8.0         avgerr          rms             
balanced        all             F               all             22.31           12.26           9.63            8.20            7.67            18.63           
balanced        all             F               0               14.91           5.14            2.46            1.62            1.31            3.76            
balanced        all             F               1               21.26           8.40            5.33            3.69            2.07            6.21            
balanced        all             F               2               39.33           25.25           20.23           17.28           6.29            9.86            
balanced        all             F               3               63.60           49.55           43.07           38.78           35.47           45.87           
balanced        all             H               all             12.29           8.21            6.69            5.91            3.84            9.35            
balanced        all             H               0               5.23            1.62            0.93            0.61            0.66            1.88            
balanced        all             H               1               8.42            3.71            2.30            1.67            1.04            3.15            
balanced        all             H               2               25.32           17.35           12.91           10.55           3.16            4.98            
balanced        all             H               3               49.59           38.80           33.34           29.06           17.74           22.97           
balanced        all             Q               all             8.25            5.95            4.98            4.04            1.93            4.73            
balanced        all             Q               0               1.64            0.64            0.38            0.26            0.34            0.99            
balanced        all             Q               1               3.77            1.72            1.12            0.80            0.53            1.65            
balanced        all             Q               2               17.49           10.66           7.10            4.96            1.60            2.56            
balanced        all             Q               3               38.87           29.09           23.64           19.74           8.87            11.53           
balanced        noc             F               all             20.58           11.26           9.07            7.84            7.39            17.39           
balanced        noc             F               0               12.50           3.83            1.44            0.80            1.09            3.06            
balanced        noc             F               1               19.30           6.85            4.29            2.93            1.75            5.07            
balanced        noc             F               2               38.35           24.35           19.56           16.70           6.12            10.06           
balanced        noc             F               3               63.23           49.09           42.66           38.38           33.67           43.22           
balanced        noc             H               all             11.28           7.85            6.47            5.76            3.69            8.72            
balanced        noc             H               0               3.91            0.80            0.47            0.36            0.55            1.54            
balanced        noc             H               1               6.88            2.94            1.81            1.31            0.88            2.57            
balanced        noc             H               2               24.41           16.76           12.45           10.18           3.08            5.23            
balanced        noc             H               3               49.13           38.40           32.91           28.62           16.84           21.66           
balanced        noc             Q               all             7.86            5.77            4.88            3.93            1.85            4.40            
balanced        noc             Q               0               0.81            0.37            0.23            0.14            0.28            0.79            
balanced        noc             Q               1               2.99            1.34            0.87            0.61            0.45            1.38            
balanced        noc             Q               2               16.88           10.26           6.80            4.71            1.55            2.58            
balanced        noc             Q               3               38.45           28.63           23.14           19.11           8.42            10.86           
unbalanced      all             F               all             47.99           27.38           18.89           14.12           6.46            12.28           
unbalanced      all             F               0               47.19           27.44           17.69           13.02           6.52            8.06            
unbalanced      all             F               1               50.99           22.68           14.69           10.01           3.56            5.57            
unbalanced      all             F               2               60.03           28.98           16.00           11.60           5.06            7.04            
unbalanced      all             F               3               73.71           51.90           41.54           35.77           20.17           25.34           
